TEMPS SLEEP= 5000000;;;;;;;;;;;;;;;;;;;TEMPS SLEEP= 2500000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;limit=20;;;;;limit=10;;;;;limit=200;;;
limit = 20;;;;;limit=10;;;;;limit=200;;;;limit=50;;;;;0,398405;;;;;0,398522;;;;;0,396965;;;
0,398845;;;;;0,400148;;;;;;;;;0,399662;;;;;0,397719;;;;;0,397467;;;;;;;;
0,399291;;;;;0,397413;;;;;;;;;0,400069;;;;;0,397627;;;;;0,398941;;;;;;;;
0,39874;;;;;0,397815;;;;;;;;;0,400152;;;;;0,396017;;;;;0,400108;;;;;;;;
0,399001;;;;;0,400641;;;;;;;;;0,400234;;;;;0,385292;;;;;0,391872;;;;;;;;
0,399941;;;;;0,400109;;;;;;;;;0,405717;;;;;0,394956;;;;;0,390255;;;;;;;;
0,397654;;;;;0,398243;;;;;;;;;0,399754;;;;;0,395379;;;;;0,393402;;;;;;;;
0,398904;;;;;0,3991;;;;;;;;;0,399619;;;;;0,398496;;;;;0,395945;;;;;;;;
0,398721;;;;;0,39956;;;;;;;;;0,398726;;;;;0,397749;;;;;0,397721;;;;;;;;
0,399381;;;;;0,399109;;;;;;;;;0,398494;;;;;0,396827;;;;;0,393862;;;;;;;;
0,400026;;;;;0,399571;;;;;;;;;0,398858;;;;;0,395521;;;;;0,394754;;;;;;;;
0,399679;;;;;0,399678;;;;;;;;;0,398866;;;;;0,396926;;;;;0,397585;;;;;;;;
0,400909;;;;;0,389362;;;;;;;;;0,398232;;;;;0,39596;;;;;0,397466;;;;;;;;
0,399942;;;;;0,391253;;;;;;;;;0,398758;;;;;0,39449;;;;;0,399216;;;;;;;;
0,399422;;;;;0,399291;;;;;;;;;0,387568;;;;;0,395573;;;;;0,39918;;;;;;;;
0,399252;;;;;0,399089;;;;;;;;;0,393102;;;;;0,39647;;;;;0,399377;;;;;;;;
0,39944;;;;;0,400707;;;;;;;;;0,400257;;;;;0,397145;;;;;0,399439;;;;;;;;
0,399541;;;;;0,400018;;;;;;;;;0,400053;;;;;0,395154;;;;;0,399764;;;;;;;;
0,399547;;;;;0,396127;;;;;;;;;0,399463;;;;;0,396141;;;;;0,399346;;;;;;;;
0,399991;;;;;0,398083;;;;;;;;;0,395545;;;;;0,395634;;;;;0,39871;;;;;;;;
0,396984;;;;;0,39964;;;;;;;;;;;;;;0,395795;;;;;0,398153;;;;;;;;
0,397869;;;;;0,399463;;;;;;;;;;;;;;0,395793;;;;;0,40155;;;;;;;;
0,397999;;;;;0,400393;;;;;;;;;;;;;;0,396223;;;;;0,398668;;;;;;;;
0,398469;;;;;0,400216;;;;;;;;;;;;;;0,395464;;;;;0,399786;;;;;;;;
0,398592;;;;;0,400474;;;;;;;;;;;;;;0,396678;;;;;0,399645;;;;;;;;
0,398997;;;;;0,398574;;;;;;;;;;;;;;0,398405;;;;;0,397272;;;;;;;;
0,398077;;;;;0,398026;;;;;;;;;;;;;;0,3988;;;;;0,39849;;;;;;;;
0,398496;;;;;0,398669;;;;;;;;;;;;;;0,397971;;;;;0,397996;;;;;;;;
0,397838;;;;;0,39993;;;;;;;;;;;;;;0,398455;;;;;0,396665;;;;;;;;
0,398055;;;;;0,399959;;;;;;;;;;;;;;0,398944;;;;;0,399317;;;;;;;;
0,398311;;;;;0,400086;;;;;;;;;;;;;;0,398392;;;;;0,39867;;;;;;;;
0,398778;;;;;0,399558;;;;;;;;;;;;;;0,398782;;;;;0,401429;;;;;;;;
0,399873;;;;;0,400482;;;;;;;;;;;;;;0,397185;;;;;0,397316;;;;;;;;
0,398958;;;;;0,399726;;;;;;;;;;;;;;0,398449;;;;;0,395966;;;;;;;;
0,391829;;;;;0,399074;;;;;;;;;;;;;;0,398526;;;;;0,39499;;;;;;;;
